S [00:02:24.309] submitItem(Seller0, Seller0#60, 48, 129)
E [00:02:24.309] submitItem(Seller0, Seller0#60, 48, 129) -> 0
S [00:02:24.310] submitItem(Seller2, Seller2#8, 72, 140)
E [00:02:24.311] submitItem(Seller2, Seller2#8, 72, 140) -> 1
S [00:02:24.311] submitItem(Seller3, Seller3#34, 60, 110)
E [00:02:24.311] submitItem(Seller3, Seller3#34, 60, 110) -> 2
S [00:02:24.311] submitItem(Seller5, Seller5#87, 92, 174)
E [00:02:24.311] submitItem(Seller5, Seller5#87, 92, 174) -> 3
S [00:02:24.312] submitItem(Seller7, Seller7#36, 64, 185)
S [00:02:24.312] submitItem(Seller6, Seller6#11, 76, 166)
E [00:02:24.312] submitItem(Seller6, Seller6#11, 76, 166) -> 5
E [00:02:24.312] submitItem(Seller7, Seller7#36, 64, 185) -> 4
S [00:02:24.313] submitItem(Seller1, Seller1#85, 88, 147)
E [00:02:24.313] submitItem(Seller1, Seller1#85, 88, 147) -> 6
S [00:02:24.313] submitItem(Seller8, Seller8#64, 56, 130)
E [00:02:24.313] submitItem(Seller8, Seller8#64, 56, 130) -> 7
S [00:02:24.314] submitItem(Seller0, Seller0#17, 53, 191)
E [00:02:24.314] submitItem(Seller0, Seller0#17, 53, 191) -> 8
S [00:02:24.314] submitItem(Seller2, Seller2#43, 50, 106)
E [00:02:24.314] submitItem(Seller2, Seller2#43, 50, 106) -> 9
S [00:02:24.314] submitItem(Seller4, Seller4#62, 52, 103)
E [00:02:24.315] submitItem(Seller4, Seller4#62, 52, 103) -> 10
S [00:02:24.315] submitItem(Seller3, Seller3#79, 2, 149)
E [00:02:24.315] submitItem(Seller3, Seller3#79, 2, 149) -> 11
S [00:02:24.315] submitItem(Seller5, Seller5#3, 5, 154)
S [00:02:24.315] submitItem(Seller6, Seller6#92, 3, 177)
E [00:02:24.315] submitItem(Seller5, Seller5#3, 5, 154) -> 12
E [00:02:24.315] submitItem(Seller6, Seller6#92, 3, 177) -> 13
S [00:02:24.315] submitItem(Seller7, Seller7#28, 54, 168)
E [00:02:24.315] submitItem(Seller7, Seller7#28, 54, 168) -> 14
S [00:02:24.318] submitItem(Seller31, Seller31#32, 56, 184)
S [00:02:24.318] submitItem(Seller30, Seller30#6, 68, 165)
E [00:02:24.318] submitItem(Seller30, Seller30#6, 68, 165) -> 16
S [00:02:24.318] submitItem(Seller29, Seller29#83, 84, 121)
S [00:02:24.318] submitItem(Seller27, Seller27#30, 52, 157)
E [00:02:24.318] submitItem(Seller27, Seller27#30, 52, 157) -> 18
S [00:02:24.318] submitItem(Seller25, Seller25#81, 28, 147)
E [00:02:24.318] submitItem(Seller25, Seller25#81, 28, 147) -> 19
S [00:02:24.318] submitItem(Seller26, Seller26#4, 64, 139)
E [00:02:24.318] submitItem(Seller26, Seller26#4, 64, 139) -> 20
S [00:02:24.318] submitItem(Seller24, Seller24#55, 40, 176)
S [00:02:24.318] submitItem(Seller22, Seller22#2, 60, 112)
S [00:02:24.319] submitItem(Seller23, Seller23#27, 48, 183)
E [00:02:24.319] submitItem(Seller23, Seller23#27, 48, 183) -> 23
S [00:02:24.319] submitItem(Seller30, Seller30#92, 98, 186)
E [00:02:24.319] submitItem(Seller30, Seller30#92, 98, 186) -> 24
S [00:02:24.319] submitItem(Seller21, Seller21#78, 24, 120)
E [00:02:24.319] submitItem(Seller21, Seller21#78, 24, 120) -> 25
S [00:02:24.319] submitItem(Seller20, Seller20#53, 36, 101)
E [00:02:24.319] submitItem(Seller20, Seller20#53, 36, 101) -> 26
S [00:02:24.319] submitItem(Seller18, Seller18#0, 4, 138)
E [00:02:24.319] submitItem(Seller18, Seller18#0, 4, 138) -> 27
S [00:02:24.319] submitItem(Seller19, Seller19#25, 44, 156)
E [00:02:24.319] submitItem(Seller19, Seller19#25, 44, 156) -> 28
S [00:02:24.319] submitItem(Seller17, Seller17#76, 20, 194)
E [00:02:24.319] submitItem(Seller17, Seller17#76, 20, 194) -> 29
S [00:02:24.319] submitItem(Seller15, Seller15#41, 72, 138)
S [00:02:24.319] submitItem(Seller25, Seller25#55, 98, 195)
S [00:02:24.319] submitItem(Seller13, Seller13#92, 0, 175)
